alpha,replica,seed,runtime_sec,final_loss,steps_taken,cosine_similarity
0.0,1,100,0.3991,3.1361857555e-12,101,9.7728660330e-04
0.0,2,101,0.3534,2.7858923935e-12,101,2.1838168614e-03
0.0,3,102,0.3551,2.8056547970e-12,101,-1.4017503709e-03
0.0,4,103,0.3391,3.0523021177e-12,101,6.7138444865e-04
0.0,5,104,0.3370,3.0996056416e-12,101,7.5051782187e-04
0.0,6,105,0.3486,3.0806340551e-12,101,1.5010383504e-04
0.0,7,106,0.3170,3.0167363833e-12,101,2.9396023601e-03
0.0,8,107,0.3382,2.7902660651e-12,101,1.3332273811e-03
0.0,9,108,0.3345,2.8606240640e-12,101,6.6768517718e-04
0.0,10,109,0.3445,3.1125386556e-12,101,6.3183734892e-04
0.2,1,100,3.9623,6.7820378717e-06,1201,2.0740306005e-02
0.2,2,101,3.8225,7.3208161666e-06,1201,2.1279141307e-02
0.2,3,102,3.9273,6.8459139584e-06,1201,1.8290665001e-02
0.2,4,103,3.6673,1.1978238945e-05,1151,2.0811140537e-02
0.2,5,104,3.8376,7.0147179940e-06,1201,2.0299097523e-02
0.2,6,105,3.8446,7.6342257671e-06,1201,2.1227467805e-02
0.2,7,106,3.8310,7.3845653787e-06,1201,2.1857053041e-02
0.2,8,107,3.6963,1.1092815839e-05,1151,2.0835716277e-02
0.2,9,108,3.6820,1.1270422874e-05,1151,1.9267395139e-02
0.2,10,109,3.8539,7.1605941230e-06,1201,2.0318670198e-02
0.4,1,100,9.9419,3.9973027015e-05,3051,4.2130634189e-02
0.4,2,101,9.9261,3.8164216676e-05,3051,4.2472314090e-02
0.4,3,102,9.9848,3.8519348891e-05,3051,4.0156729519e-02
0.4,4,103,9.7773,4.0841277951e-05,3051,4.1477434337e-02
0.4,5,104,9.7581,4.4587439334e-05,3001,4.1709389538e-02
0.4,6,105,9.8560,3.8139420212e-05,3051,4.2967367917e-02
0.4,7,106,9.8826,3.8436486648e-05,3051,4.2027592659e-02
0.4,8,107,9.9337,3.8673912059e-05,3051,4.2576093227e-02
0.4,9,108,9.9161,3.8603400753e-05,3051,4.1541341692e-02
0.4,10,109,9.7299,4.3657579226e-05,3001,4.1874077171e-02
0.6000000000000001,1,100,19.7090,1.2820494885e-04,6000,6.5608255565e-02
0.6000000000000001,2,101,19.7730,1.2594647706e-04,6000,6.6427901387e-02
0.6000000000000001,3,102,19.7499,1.1506102601e-04,6000,6.2772892416e-02
0.6000000000000001,4,103,19.8214,1.1976365931e-04,6000,6.4759485424e-02
0.6000000000000001,5,104,19.6949,1.1317958706e-04,6000,6.4849510789e-02
0.6000000000000001,6,105,19.7823,1.1800125503e-04,6000,6.5958902240e-02
0.6000000000000001,7,106,19.7688,1.1511414777e-04,6000,6.4378105104e-02
0.6000000000000001,8,107,19.6794,1.2354071077e-04,6000,6.6506274045e-02
0.6000000000000001,9,108,19.8736,1.1855637422e-04,6000,6.4864933491e-02
0.6000000000000001,10,109,19.7155,1.1691270629e-04,6000,6.4826764166e-02
0.8,1,100,19.9257,2.2545991465e-02,6000,9.3713618815e-02
0.8,2,101,20.0143,2.3030789569e-02,6000,9.1554209590e-02
0.8,3,102,19.9332,2.3175129667e-02,6000,8.8705375791e-02
0.8,4,103,20.0439,2.2950753570e-02,6000,9.1917254031e-02
0.8,5,104,20.0287,2.1818954498e-02,6000,9.1936394572e-02
0.8,6,105,20.0599,2.2048827261e-02,6000,9.1617815197e-02
0.8,7,106,20.0008,2.3368662223e-02,6000,9.1265469790e-02
0.8,8,107,20.1505,2.2770928219e-02,6000,9.4975255430e-02
0.8,9,108,20.0418,2.2342028096e-02,6000,9.2273503542e-02
0.8,10,109,20.0078,2.3397702724e-02,6000,9.1575108469e-02
1.0,1,100,20.2534,2.8914380074e-01,6000,1.2455917895e-01
1.0,2,101,20.3928,2.9260152578e-01,6000,1.2197303772e-01
1.0,3,102,20.3384,2.8900471330e-01,6000,1.2001170963e-01
1.0,4,103,20.3512,2.9074397683e-01,6000,1.2065579742e-01
1.0,5,104,20.2886,2.8261584044e-01,6000,1.2303935736e-01
1.0,6,105,20.3075,2.8615331650e-01,6000,1.2060911208e-01
1.0,7,106,20.3635,2.8723815084e-01,6000,1.2155664712e-01
1.0,8,107,20.2591,2.7542215586e-01,6000,1.2495692074e-01
1.0,9,108,20.3740,2.7979150414e-01,6000,1.2391355634e-01
1.0,10,109,20.3327,3.0504891276e-01,6000,1.2189429998e-01
1.2000000000000002,1,100,20.5525,1.1485054493e+00,6000,1.6037671268e-01
1.2000000000000002,2,101,20.6259,1.1504691839e+00,6000,1.5518957376e-01
1.2000000000000002,3,102,20.4651,1.1269006729e+00,6000,1.5394249558e-01
1.2000000000000002,4,103,20.5981,1.1465474367e+00,6000,1.5407057106e-01
1.2000000000000002,5,104,20.5892,1.1244477034e+00,6000,1.5733708441e-01
1.2000000000000002,6,105,20.6597,1.1398102045e+00,6000,1.5499091148e-01
1.2000000000000002,7,106,20.6470,1.1189384460e+00,6000,1.5430636704e-01
1.2000000000000002,8,107,20.5098,1.1174869537e+00,6000,1.6159634292e-01
1.2000000000000002,9,108,20.4951,1.1246854067e+00,6000,1.5637005866e-01
1.2000000000000002,10,109,20.4505,1.1627643108e+00,6000,1.5584471822e-01
1.4000000000000001,1,100,19.6847,2.6230747700e+00,6000,1.9615437090e-01
1.4000000000000001,2,101,20.3850,2.6248431206e+00,6000,1.9100518525e-01
1.4000000000000001,3,102,20.1172,2.5804872513e+00,6000,1.8986229599e-01
1.4000000000000001,4,103,19.8025,2.6531300545e+00,6000,1.8927268684e-01
1.4000000000000001,5,104,20.1253,2.5975403786e+00,6000,1.9428576529e-01
1.4000000000000001,6,105,20.1041,2.6243350506e+00,6000,1.9266307354e-01
1.4000000000000001,7,106,19.8968,2.6411638260e+00,6000,1.9142782688e-01
1.4000000000000001,8,107,20.3946,2.5587668419e+00,6000,1.9893789291e-01
1.4000000000000001,9,108,19.8408,2.6320676804e+00,6000,1.9333139062e-01
1.4000000000000001,10,109,19.7512,2.6609299183e+00,6000,1.9193387032e-01
1.6,1,100,19.5799,4.5201902390e+00,6000,2.3261401057e-01
1.6,2,101,19.4521,4.5416607857e+00,6000,2.2838029265e-01
1.6,3,102,19.2433,4.5362324715e+00,6000,2.2950971127e-01
1.6,4,103,19.2218,4.5928015709e+00,6000,2.2926016152e-01
1.6,5,104,19.5198,4.5109138489e+00,6000,2.3463894427e-01
1.6,6,105,19.1836,4.5838985443e+00,6000,2.3032255471e-01
1.6,7,106,19.4527,4.4970860481e+00,6000,2.2991371155e-01
1.6,8,107,19.5955,4.4403009415e+00,6000,2.3910804093e-01
1.6,9,108,19.3212,4.4672622681e+00,6000,2.3316060007e-01
1.6,10,109,19.4827,4.5102252960e+00,6000,2.3018142581e-01
1.8,1,100,19.3730,6.6421136856e+00,6000,2.7501809597e-01
1.8,2,101,19.0628,6.6786146164e+00,6000,2.6980262995e-01
1.8,3,102,19.3247,6.6276497841e+00,6000,2.7391394973e-01
1.8,4,103,19.3599,6.6445646286e+00,6000,2.7249589562e-01
1.8,5,104,19.0921,6.6116209030e+00,6000,2.7770110965e-01
1.8,6,105,19.2497,6.6847062111e+00,6000,2.7090236545e-01
1.8,7,106,19.2942,6.6516456604e+00,6000,2.7454403043e-01
1.8,8,107,19.5165,6.5486965179e+00,6000,2.8135591745e-01
1.8,9,108,19.3349,6.6132922173e+00,6000,2.7433428168e-01
1.8,10,109,19.4521,6.6540069580e+00,6000,2.7218630910e-01
2.0,1,100,19.1725,8.6192226410e+00,6000,3.2379671931e-01
2.0,2,101,19.1673,8.7454233170e+00,6000,3.1791511178e-01
2.0,3,102,19.4180,8.7435235977e+00,6000,3.1884416938e-01
2.0,4,103,19.4006,8.6622772217e+00,6000,3.2199579477e-01
2.0,5,104,19.2364,8.7005310059e+00,6000,3.2333022356e-01
2.0,6,105,19.2606,8.7871541977e+00,6000,3.1761279702e-01
2.0,7,106,19.0310,8.7380723953e+00,6000,3.2090029120e-01
2.0,8,107,19.5152,8.6581592560e+00,6000,3.2756328583e-01
2.0,9,108,19.2522,8.7713575363e+00,6000,3.2210770249e-01
2.0,10,109,19.2255,8.6403923035e+00,6000,3.1912854314e-01
2.2,1,100,19.1918,1.0709242821e+01,6000,3.6956152320e-01
2.2,2,101,19.2918,1.0815875053e+01,6000,3.6534202099e-01
2.2,3,102,18.9391,1.0662786484e+01,6000,3.7253233790e-01
2.2,4,103,19.0979,1.0606146812e+01,6000,3.7240102887e-01
2.2,5,104,19.0079,1.0565192223e+01,6000,3.7497708201e-01
2.2,6,105,19.3032,1.0652445793e+01,6000,3.7239873409e-01
2.2,7,106,19.0361,1.0797092438e+01,6000,3.6732867360e-01
2.2,8,107,19.3800,1.0620319366e+01,6000,3.7532201409e-01
2.2,9,108,18.9569,1.0619997978e+01,6000,3.7200391293e-01
2.2,10,109,19.1627,1.0619525909e+01,6000,3.6888536811e-01
2.4000000000000004,1,100,19.2943,1.2400377274e+01,6000,4.2365956306e-01
2.4000000000000004,2,101,19.0342,1.2440033913e+01,6000,4.2212826014e-01
2.4000000000000004,3,102,19.4258,1.2300856590e+01,6000,4.2774984241e-01
2.4000000000000004,4,103,19.1742,1.2308052063e+01,6000,4.2620372772e-01
2.4000000000000004,5,104,19.0128,1.2314362526e+01,6000,4.2939946055e-01
2.4000000000000004,6,105,19.1297,1.2321215630e+01,6000,4.2670625448e-01
2.4000000000000004,7,106,19.0795,1.2448565483e+01,6000,4.2059803009e-01
2.4000000000000004,8,107,19.1921,1.2209603310e+01,6000,4.3252518773e-01
2.4000000000000004,9,108,19.2920,1.2293356895e+01,6000,4.2434430122e-01
2.4000000000000004,10,109,19.3934,1.2395147324e+01,6000,4.2050901055e-01
2.6,1,100,19.4472,1.3690344810e+01,6000,4.8170822859e-01
2.6,2,101,18.6013,1.3564340591e+01,6000,4.8436388373e-01
2.6,3,102,19.2915,1.3564797401e+01,6000,4.8757070303e-01
2.6,4,103,19.1629,1.3653605461e+01,6000,4.8475536704e-01
2.6,5,104,19.0503,1.3627345085e+01,6000,4.8584115505e-01
2.6,6,105,19.3785,1.3696278572e+01,6000,4.8499023914e-01
2.6,7,106,19.6230,1.3745238304e+01,6000,4.7886958718e-01
2.6,8,107,18.4102,1.3519390106e+01,6000,4.8996606469e-01
2.6,9,108,19.1211,1.3640677452e+01,6000,4.8326712847e-01
2.6,10,109,18.6993,1.3631565094e+01,6000,4.8197770119e-01
2.8000000000000003,1,100,19.1957,1.4565684319e+01,6000,5.4206430912e-01
2.8000000000000003,2,101,19.2943,1.4522182465e+01,6000,5.4298192263e-01
2.8000000000000003,3,102,19.4593,1.4373739243e+01,6000,5.4766756296e-01
2.8000000000000003,4,103,19.2022,1.4455780983e+01,6000,5.4602873325e-01
2.8000000000000003,5,104,18.9491,1.4612892151e+01,6000,5.4491567612e-01
2.8000000000000003,6,105,18.9946,1.4587031364e+01,6000,5.4526031017e-01
2.8000000000000003,7,106,19.5749,1.4775533676e+01,6000,5.3416728973e-01
2.8000000000000003,8,107,18.9020,1.4384777069e+01,6000,5.5095106363e-01
2.8000000000000003,9,108,18.9718,1.4459653854e+01,6000,5.4337239265e-01
2.8000000000000003,10,109,19.4862,1.4570056915e+01,6000,5.4066896439e-01
3.0,1,100,18.8370,1.4935676575e+01,6000,6.0485434532e-01
3.0,2,101,18.0597,1.4915396690e+01,6000,6.0410934687e-01
3.0,3,102,18.8592,1.4874897003e+01,6000,6.0673975945e-01
3.0,4,103,18.3729,1.4863690376e+01,6000,6.0419744253e-01
3.0,5,104,18.6104,1.4873318672e+01,6000,6.0727208853e-01
3.0,6,105,18.7746,1.4831145287e+01,6000,6.0769402981e-01
3.0,7,106,18.3399,1.5201194763e+01,6000,5.9659087658e-01
3.0,8,107,18.0163,1.4830755234e+01,6000,6.1019068956e-01
3.0,9,108,18.0515,1.4896196365e+01,6000,6.0579603910e-01
3.0,10,109,18.7457,1.5060231209e+01,6000,6.0074335337e-01
3.2,1,100,18.6912,1.5046610832e+01,6000,6.5962237120e-01
3.2,2,101,18.4680,1.4955862045e+01,6000,6.6146522760e-01
3.2,3,102,18.7845,1.4924353600e+01,6000,6.6314041615e-01
3.2,4,103,18.3823,1.4935767174e+01,6000,6.6182792187e-01
3.2,5,104,18.9360,1.4793156624e+01,6000,6.6498869658e-01
3.2,6,105,18.5734,1.4993237495e+01,6000,6.6313773394e-01
3.2,7,106,18.8373,1.5133933067e+01,6000,6.5574532747e-01
3.2,8,107,18.5281,1.4715428352e+01,6000,6.6786217690e-01
3.2,9,108,18.2943,1.4874356270e+01,6000,6.6227841377e-01
3.2,10,109,18.1095,1.5128509521e+01,6000,6.5633624792e-01
3.4000000000000004,1,100,17.9835,1.4699708939e+01,6000,7.1085286140e-01
3.4000000000000004,2,101,17.7853,1.4723329544e+01,6000,7.1108943224e-01
3.4000000000000004,3,102,17.3511,1.4684434891e+01,6000,7.1248573065e-01
3.4000000000000004,4,103,17.6019,1.4733766556e+01,6000,7.1105867624e-01
3.4000000000000004,5,104,17.9481,1.4447733879e+01,6000,7.1555751562e-01
3.4000000000000004,6,105,17.3841,1.4746719360e+01,6000,7.1280592680e-01
3.4000000000000004,7,106,17.6391,1.4849723816e+01,6000,7.0814794302e-01
3.4000000000000004,8,107,17.5601,1.4459793091e+01,6000,7.1661317348e-01
3.4000000000000004,9,108,18.0528,1.4670170784e+01,6000,7.1039044857e-01
3.4000000000000004,10,109,16.6746,1.4793679237e+01,6000,7.1006315947e-01
3.6,1,100,17.6655,1.4255766869e+01,6000,7.5418150425e-01
3.6,2,101,17.1299,1.4156141281e+01,6000,7.5556886196e-01
3.6,3,102,17.4806,1.4210434914e+01,6000,7.5555396080e-01
3.6,4,103,17.6589,1.4259149551e+01,6000,7.5357699394e-01
3.6,5,104,17.1837,1.4053434372e+01,6000,7.5679355860e-01
3.6,6,105,17.6071,1.4234486580e+01,6000,7.5501811504e-01
3.6,7,106,18.1357,1.4441505432e+01,6000,7.5046098232e-01
3.6,8,107,17.2273,1.4148488998e+01,6000,7.5602358580e-01
3.6,9,108,17.3427,1.4312102318e+01,6000,7.5214475393e-01
3.6,10,109,17.1128,1.4465710640e+01,6000,7.5085526705e-01
3.8000000000000003,1,100,17.0542,1.3646722794e+01,6000,7.9054564238e-01
3.8000000000000003,2,101,16.5579,1.3655230522e+01,6000,7.9043948650e-01
3.8000000000000003,3,102,16.7406,1.3695654869e+01,6000,7.8936702013e-01
3.8000000000000003,4,103,16.7643,1.3672014236e+01,6000,7.8995668888e-01
3.8000000000000003,5,104,16.7557,1.3613388062e+01,6000,7.9096096754e-01
3.8000000000000003,6,105,16.6373,1.3754029274e+01,6000,7.8887981176e-01
3.8000000000000003,7,106,16.7502,1.3909923553e+01,6000,7.8609305620e-01
3.8000000000000003,8,107,16.7495,1.3581139565e+01,6000,7.9147785902e-01
3.8000000000000003,9,108,16.6624,1.3719776154e+01,6000,7.8755092621e-01
3.8000000000000003,10,109,17.0254,1.3987053871e+01,6000,7.8581416607e-01
4.0,1,100,16.7470,1.3237147331e+01,6000,8.1662094593e-01
4.0,2,101,17.0507,1.3053785324e+01,6000,8.1961560249e-01
4.0,3,102,16.9150,1.3337458611e+01,6000,8.1648325920e-01
4.0,4,103,16.6008,1.3146800995e+01,6000,8.1713044643e-01
4.0,5,104,16.9941,1.3201420784e+01,6000,8.1652694941e-01
4.0,6,105,16.9180,1.3179710388e+01,6000,8.1730377674e-01
4.0,7,106,16.6885,1.3177192688e+01,6000,8.1759136915e-01
4.0,8,107,16.9347,1.3141795158e+01,6000,8.1865465641e-01
4.0,9,108,16.6893,1.3166685104e+01,6000,8.1735622883e-01
4.0,10,109,16.7633,1.3332787514e+01,6000,8.1562119722e-01
4.2,1,100,17.1196,1.2620037079e+01,6000,8.4095525742e-01
4.2,2,101,16.6035,1.2460589409e+01,6000,8.4339416027e-01
4.2,3,102,16.5125,1.2673433304e+01,6000,8.4099400043e-01
4.2,4,103,16.7384,1.2792551041e+01,6000,8.3769774437e-01
4.2,5,104,17.0067,1.2553882599e+01,6000,8.4149479866e-01
4.2,6,105,16.6707,1.2587302208e+01,6000,8.4171491861e-01
4.2,7,106,16.0556,1.2744619370e+01,6000,8.3999496698e-01
4.2,8,107,16.3904,1.2551272392e+01,6000,8.4184801579e-01
4.2,9,108,16.5601,1.2657256126e+01,6000,8.3957719803e-01
4.2,10,109,16.1661,1.2922660828e+01,6000,8.3774715662e-01
4.4,1,100,16.2308,1.2325470924e+01,6000,8.5777503252e-01
4.4,2,101,16.4114,1.1904000282e+01,6000,8.6282235384e-01
4.4,3,102,16.3522,1.2306247711e+01,6000,8.5817337036e-01
4.4,4,103,16.2243,1.2303155899e+01,6000,8.5716944933e-01
4.4,5,104,16.1811,1.2151253700e+01,6000,8.5934776068e-01
4.4,6,105,16.3052,1.2086430550e+01,6000,8.6055964231e-01
4.4,7,106,16.3470,1.2440464020e+01,6000,8.5726368427e-01
4.4,8,107,16.5626,1.1970337868e+01,6000,8.6198526621e-01
4.4,9,108,16.2603,1.2346771240e+01,6000,8.5640865564e-01
4.4,10,109,16.2008,1.2371410370e+01,6000,8.5694527626e-01
4.6000000000000005,1,100,16.5919,1.1940199852e+01,6000,8.7189525366e-01
4.6000000000000005,2,101,16.1523,1.1573565483e+01,6000,8.7638455629e-01
4.6000000000000005,3,102,16.2598,1.1810584068e+01,6000,8.7385886908e-01
4.6000000000000005,4,103,16.5659,1.1787489891e+01,6000,8.7338399887e-01
4.6000000000000005,5,104,16.4457,1.1744219780e+01,6000,8.7403768301e-01
4.6000000000000005,6,105,16.3794,1.1702163696e+01,6000,8.7461966276e-01
4.6000000000000005,7,106,16.2559,1.1946786880e+01,6000,8.7255185843e-01
4.6000000000000005,8,107,16.3918,1.1770685196e+01,6000,8.7397241592e-01
4.6000000000000005,9,108,16.3221,1.1754827499e+01,6000,8.7355244160e-01
4.6000000000000005,10,109,16.0012,1.2098262787e+01,6000,8.7024527788e-01
4.800000000000001,1,100,16.6145,1.1469419479e+01,6000,8.8525801897e-01
4.800000000000001,2,101,16.8943,1.1236091614e+01,6000,8.8795590401e-01
4.800000000000001,3,102,18.7173,1.1478741646e+01,6000,8.8536435366e-01
4.800000000000001,4,103,16.5498,1.1377537727e+01,6000,8.8556647301e-01
4.800000000000001,5,104,16.5973,1.1431835175e+01,6000,8.8553309441e-01
4.800000000000001,6,105,16.4281,1.1280150414e+01,6000,8.8714772463e-01
4.800000000000001,7,106,16.6186,1.1354013443e+01,6000,8.8650417328e-01
4.800000000000001,8,107,16.5080,1.1439030647e+01,6000,8.8565009832e-01
4.800000000000001,9,108,16.5639,1.1222815514e+01,6000,8.8663589954e-01
4.800000000000001,10,109,16.5976,1.1591650963e+01,6000,8.8396126032e-01
5.0,1,100,16.6907,1.1149127007e+01,6000,8.9520114660e-01
5.0,2,101,16.6536,1.0796079636e+01,6000,8.9841651917e-01
5.0,3,102,16.7060,1.1168905258e+01,6000,8.9479809999e-01
5.0,4,103,16.6089,1.0896361351e+01,6000,8.9683407545e-01
5.0,5,104,16.6716,1.0958669662e+01,6000,8.9638775587e-01
5.0,6,105,16.6303,1.0869524956e+01,6000,8.9744335413e-01
5.0,7,106,16.6348,1.1120134354e+01,6000,8.9546108246e-01
5.0,8,107,16.6321,1.1261515617e+01,6000,8.9415937662e-01
5.0,9,108,16.6422,1.0909111023e+01,6000,8.9672136307e-01
5.0,10,109,16.6093,1.1298224449e+01,6000,8.9385986328e-01
